SectionName,hw,tw,bf,tf,Fy,a3,s,w,E,G,nu,phi_s,phi_f,L,omega2,alpha_LT
WTF333/279×25,333,4.18,279,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/305×25,333,4.18,305,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/254×32,333,4.18,254,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/330×25,333,4.18,330,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/356×25,333,4.18,356,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/305×32,333,4.18,305,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/406×25,333,4.18,406,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/356×32,333,4.18,356,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/406×32,333,4.18,406,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/450×32,333,4.18,450,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/127×6,333,4.94,127,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/152×6,333,4.94,152,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/152×8,333,4.94,152,8,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/152×10,333,4.94,152,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/178×10,333,4.94,178,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/152×13,333,4.94,152,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/178×13,333,4.94,178,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/203×13,333,4.94,203,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/152×19,333,4.94,152,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/203×16,333,4.94,203,16,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/203×19,333,4.94,203,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/254×19,333,4.94,254,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/203×25,333,4.94,203,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/254×25,333,4.94,254,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/279×25,333,4.94,279,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/305×25,333,4.94,305,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/254×32,333,4.94,254,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/330×25,333,4.94,330,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/356×25,333,4.94,356,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/305×32,333,4.94,305,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/406×25,333,4.94,406,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/356×32,333,4.94,356,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/406×32,333,4.94,406,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTH333/450×32,333,4.94,450,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/127×6,333,6.07,127,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/152×6,333,6.07,152,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/152×8,333,6.07,152,8,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/152×10,333,6.07,152,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/178×10,333,6.07,178,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/152×13,333,6.07,152,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/178×13,333,6.07,178,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/203×13,333,6.07,203,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/152×19,333,6.07,152,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/203×16,333,6.07,203,16,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/203×19,333,6.07,203,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/254×19,333,6.07,254,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/203×25,333,6.07,203,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/254×25,333,6.07,254,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/279×25,333,6.07,279,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/305×25,333,6.07,305,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/254×32,333,6.07,254,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/330×25,333,6.07,330,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/356×25,333,6.07,356,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/305×32,333,6.07,305,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/406×25,333,6.07,406,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/356×32,333,6.07,356,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/406×32,333,6.07,406,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTK333/450×32,333,6.07,450,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/127×6,440,1.9,127,6,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/152×6,440,1.9,152,6,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/152×8,440,1.9,152,8,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/152×10,440,1.9,152,10,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/178×10,440,1.9,178,10,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/152×13,440,1.9,152,13,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/178×13,440,1.9,178,13,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/203×13,440,1.9,203,13,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/152×19,440,1.9,152,19,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/203×16,440,1.9,203,16,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/203×19,440,1.9,203,19,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/254×19,440,1.9,254,19,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/203×25,440,1.9,203,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/254×25,440,1.9,254,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/279×25,440,1.9,279,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/305×25,440,1.9,305,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/254×32,440,1.9,254,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/330×25,440,1.9,330,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/356×25,440,1.9,356,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/305×32,440,1.9,305,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/406×25,440,1.9,406,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/356×32,440,1.9,356,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/406×32,440,1.9,406,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA440/450×32,440,1.9,450,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/127×6,440,2.66,127,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/152×6,440,2.66,152,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/152×8,440,2.66,152,8,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/152×10,440,2.66,152,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/178×10,440,2.66,178,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/152×13,440,2.66,152,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/178×13,440,2.66,178,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/203×13,440,2.66,203,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/152×19,440,2.66,152,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/203×16,440,2.66,203,16,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/203×19,440,2.66,203,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/254×19,440,2.66,254,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/203×25,440,2.66,203,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/254×25,440,2.66,254,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/279×25,440,2.66,279,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/305×25,440,2.66,305,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/254×32,440,2.66,254,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/330×25,440,2.66,330,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/356×25,440,2.66,356,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/305×32,440,2.66,305,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/406×25,440,2.66,406,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/356×32,440,2.66,356,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/406×32,440,2.66,406,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB440/450×32,440,2.66,450,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/127×6,440,3.04,127,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/152×6,440,3.04,152,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/152×8,440,3.04,152,8,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/152×10,440,3.04,152,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/178×10,440,3.04,178,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/152×13,440,3.04,152,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/178×13,440,3.04,178,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/203×13,440,3.04,203,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/152×19,440,3.04,152,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/203×16,440,3.04,203,16,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/203×19,440,3.04,203,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/254×19,440,3.04,254,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/203×25,440,3.04,203,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/254×25,440,3.04,254,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/279×25,440,3.04,279,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/305×25,440,3.04,305,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/254×32,440,3.04,254,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/330×25,440,3.04,330,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/356×25,440,3.04,356,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/305×32,440,3.04,305,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/406×25,440,3.04,406,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/356×32,440,3.04,356,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/406×32,440,3.04,406,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC440/450×32,440,3.04,450,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/127×6,440,4.18,127,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/152×6,440,4.18,152,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/152×8,440,4.18,152,8,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/152×10,440,4.18,152,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/178×10,440,4.18,178,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/152×13,440,4.18,152,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/178×13,440,4.18,178,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/203×13,440,4.18,203,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/152×19,440,4.18,152,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/203×16,440,4.18,203,16,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/203×19,440,4.18,203,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/254×19,440,4.18,254,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/203×25,440,4.18,203,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/254×25,440,4.18,254,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/279×25,440,4.18,279,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/305×25,440,4.18,305,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/254×32,440,4.18,254,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/330×25,440,4.18,330,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/356×25,440,4.18,356,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/305×32,440,4.18,305,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/406×25,440,4.18,406,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/356×32,440,4.18,356,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF440/406×32,440,4.18,406,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
